application_date,approval_id,issue_date,latitude,longitude,project_id,complete_cancel_date,job_id,status,valuation
2014-12-02,1398648,2015-01-09,32.694235,-117.064842,400358,2015-01-14,779536,Completed,
2014-09-05,1353247,2015-01-09,32.684245,-117.0317,387643,2015-01-23,756029,Completed,
2014-09-05,1353272,2015-01-09,32.678789,-117.055232,387649,2015-01-23,756040,Completed,
2014-12-09,1402337,2015-01-09,32.855908,-117.19114,401393,2015-03-27,781606,Completed,
2014-12-23,1410482,2015-01-09,32.581165,-117.059052,403528,2015-02-03,785633,Completed,
2015-01-12,1416602,2015-01-12,32.824302,-117.167221,405242,2015-04-23,788862,Completed,
,1411809,2015-01-12,32.731567,-117.127976,403853,2015-02-13,786299,Completed,
2014-12-16,1406271,2015-01-12,32.913364,-117.216351,402364,2015-01-13,783450,Completed,
2015-01-12,1416886,2015-01-12,32.720449,-117.123284,405329,,789020,Issued,
2015-01-12,1416907,2015-01-12,32.726721,-117.241881,405332,2015-06-15,789026,Completed,
2015-01-12,1412268,2015-01-12,32.900319,-117.156588,404019,2015-02-03,786613,Completed,
2015-01-12,1416920,2015-01-12,32.93877,-117.167079,405327,2015-01-23,789016,Completed,
2014-12-08,1401388,2015-01-12,32.750615,-117.237558,401161,2015-02-02,781158,Completed,
2014-12-18,1407525,2015-01-12,32.575045,-117.0149,402694,2015-04-17,784094,Completed,
2014-12-18,1407517,2015-01-12,32.67827,-117.044591,402693,2015-04-09,784092,Completed,
2014-12-18,1407508,2015-01-12,32.699441,-117.034779,402690,2015-03-19,784086,Completed,
2015-01-12,1415484,2015-01-12,32.804707,-117.011644,404918,2015-02-03,788261,Completed,
2015-01-12,1415563,2015-01-12,32.969797,-117.080106,404934,2015-01-28,788293,Completed,
2015-01-12,1415826,2015-01-12,32.58029,-117.05545,405013,2015-01-26,788440,Completed,
2015-01-12,1415836,2015-01-12,32.747887,-117.211641,405015,,788445,Issued,
2014-12-19,1408393,2015-01-13,32.826657,-117.211756,402949,2015-02-10,784551,Completed,
2014-12-19,1408379,2015-01-13,32.985557,-117.249147,402944,2015-04-02,784539,Completed,
2015-01-13,1415444,2015-01-13,32.852217,-117.252941,404898,,788238,Issued,
2015-01-13,1415603,2015-01-13,32.93135,-117.077758,404943,2015-02-23,788316,Completed,
2015-01-13,1417632,2015-01-13,32.846674,-117.223716,405506,2015-01-30,789360,Completed,
2015-01-13,1417664,2015-01-13,32.73756,-117.084592,405516,2015-01-29,789376,Completed,
2015-01-13,1400943,2015-01-13,32.975287,-117.133792,401039,2015-02-03,780929,Completed,
2015-01-13,1412214,2015-01-13,32.775296,-117.115391,403997,2015-02-04,786572,Completed,
2015-01-13,1408035,2015-01-13,32.960436,-117.211733,402852,,784378,Issued,
2015-01-13,1406335,2015-01-13,32.800503,-117.133958,402386,2015-06-30,783491,Completed,
2015-01-13,1415005,2015-01-13,32.581775,-117.048517,404775,2015-02-12,788004,Completed,
2015-01-13,1414996,2015-01-13,32.977197,-117.134225,404772,2015-05-20,787998,Completed,
2015-01-13,1414259,2015-01-13,32.928229,-117.226757,404559,2015-03-18,787602,Completed,
2015-01-13,1412577,2015-01-13,32.923797,-117.126007,404093,2015-02-04,786768,Completed,
2015-01-13,1415015,2015-01-13,33.027657,-117.060293,404778,2015-03-27,788010,Completed,
2014-12-18,1407197,2015-01-13,32.986213,-117.146712,402597,,783902,Issued,
2015-01-13,1412536,2015-01-13,32.827453,-117.081228,404080,2015-02-27,786737,Completed,
2015-01-13,1414987,2015-01-13,32.696146,-117.05895,404767,2015-02-05,787988,Completed,
2015-01-14,1414115,2015-01-14,33.040533,-117.064253,404536,2015-02-04,787557,Completed,
2015-01-14,1415044,2015-01-14,32.936316,-117.068386,404790,2015-02-12,788034,Completed,
2015-01-14,1415048,2015-01-14,32.810536,-117.17001,404794,,788037,Issued,
2015-01-14,1408829,2015-01-14,32.786839,-117.088439,403081,2015-02-05,784817,Completed,
2015-01-14,1404960,2015-01-14,32.805446,-117.243676,402056,,782922,Issued,
2015-01-14,1414149,2015-01-14,32.938513,-117.201832,404544,2015-04-17,787571,Completed,
2015-01-14,1414129,2015-01-14,32.989329,-117.156626,404538,2015-05-19,787561,Completed,
2015-01-14,1418623,2015-01-14,32.678129,-117.05353,405762,2015-03-16,789876,Completed,
2015-01-14,1418652,2015-01-14,32.795392,-117.054238,405766,2015-04-05,789899,Completed,
2015-01-14,1418713,2015-01-14,32.748905,-117.134741,405777,2015-01-26,789934,Completed,
2015-01-15,1412991,2015-01-15,32.94717,-117.184362,404191,2015-02-02,786964,Completed,
2015-01-15,1413027,2015-01-15,32.965708,-117.186787,404195,2015-02-05,786970,Completed,
2014-09-26,1359297,2015-01-15,32.73015,-117.197637,389356,2015-09-17,759102,Completed,
2015-01-15,1416483,2015-01-15,32.955856,-117.200028,405222,2015-02-17,788825,Completed,
2015-01-15,1412721,2015-01-15,32.689307,-117.057844,404133,2015-03-11,786842,Completed,
2015-01-15,1414094,2015-01-15,32.813581,-117.25901,404532,2015-04-27,787548,Completed,
2015-01-15,1412711,2015-01-15,32.970018,-117.156961,404130,2015-02-19,786838,Completed,
2015-01-15,1413700,2015-01-15,33.035978,-117.082017,404395,2015-02-16,787333,Completed,
2015-01-15,1397306,2015-01-15,32.799315,-117.142511,399962,,778811,Issued,
2014-12-19,1408493,2015-01-15,32.911892,-117.134354,402976,,784609,Issued,
2014-11-03,1383474,2015-01-15,32.819715,-117.159697,396255,2015-02-23,771664,Completed,
2015-01-16,1412217,2015-01-16,32.672368,-117.047703,403998,2015-03-24,786574,Completed,
2014-12-19,1408377,2015-01-16,32.925702,-117.158362,402943,,784537,Issued,
,1411749,2015-01-16,32.776885,-117.164173,403837,2015-06-08,786261,Completed,
2015-01-16,1418125,2015-01-16,32.994411,-117.070851,405634,2015-04-03,789612,Completed,
2015-01-16,1392097,2015-01-16,32.728113,-117.253626,398514,,776014,Issued,
2014-10-09,1370192,2015-01-16,32.905295,-117.07028,392458,2016-05-09,764687,Completed,
2014-10-14,1372573,2015-01-20,32.829322,-117.280052,393064,2015-06-08,765906,Completed,
2014-12-03,1399008,2015-01-20,32.942364,-117.139381,400443,2015-02-02,779786,Completed,
2014-11-10,1387712,2015-01-20,32.714789,-117.087809,397393,2015-01-30,773796,Completed,
2015-01-20,1415030,2015-01-20,32.725434,-117.06233,404783,2015-02-20,788024,Completed,
